"","qseqid","species","seq_percID","top_perc","diff","taxonomic_level","taxon"
"43","ASV_0056","Sebastes melanostictus",98.78,98.78,0,"species","Sebastes melanostictus"
"44","ASV_0057","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"45","ASV_0059","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"46","ASV_0060","Sebastes elongatus",100,100,0,"species","Sebastes elongatus"
"47","ASV_0061","Sebastes babcocki",99.394,99.394,0,"species","Sebastes babcocki"
"48","ASV_0062","Sebastes brevispinis",100,100,0,"species","Sebastes brevispinis"
"49","ASV_0063","Sebastes ruberrimus",99.405,99.405,0,"species","Sebastes ruberrimus"
"50","ASV_0065","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"51","ASV_0066","Sebastes helvomaculatus",100,100,0,"species","Sebastes helvomaculatus"
"52","ASV_0067","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"53","ASV_0068","Sebastes ruberrimus",97.024,97.024,0,"species","Sebastes ruberrimus"
"54","ASV_0069","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"55","ASV_0070","Sebastolobus alascanus",97.814,97.814,0,"species","Sebastolobus alascanus"
"56","ASV_0072","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"57","ASV_0073","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"58","ASV_0074","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"59","ASV_0075","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"60","ASV_0078","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"61","ASV_0079","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"62","ASV_0081","Sebastes proriger",100,100,0,"species","Sebastes proriger"
"63","ASV_0083","Sebastolobus alascanus",98.171,98.171,0,"species","Sebastolobus alascanus"
"64","ASV_0084","Sebastes ruberrimus",97.024,97.024,0,"species","Sebastes ruberrimus"
"65","ASV_0085","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"66","ASV_0086","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"67","ASV_0089","Sebastes brevispinis",100,100,0,"species","Sebastes brevispinis"
"68","ASV_0091","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"69","ASV_0092","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"70","ASV_0093","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"71","ASV_0094","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"72","ASV_0095","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"73","ASV_0096","Sebastes borealis",99.39,99.39,0,"species","Sebastes borealis"
"74","ASV_0097","Sebastes maliger",99.394,99.394,0,"species","Sebastes maliger"
"75","ASV_0099","Sebastes zacentrus",98.788,98.788,0,"species","Sebastes zacentrus"
"76","ASV_0100","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"77","ASV_0101","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"78","ASV_0102","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"79","ASV_0103","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"80","ASV_0104","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"81","ASV_0105","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"82","ASV_0106","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"83","ASV_0107","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"84","ASV_0108","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"85","ASV_0109","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"86","ASV_0111","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"87","ASV_0112","Sebastes maliger",99.394,99.394,0,"species","Sebastes maliger"
"88","ASV_0113","Sebastes ciliatus_variabilis",99.387,99.387,0,"species","Sebastes ciliatus_variabilis"
"89","ASV_0114","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"90","ASV_0115","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"91","ASV_0116","Sebastes flavidus",98.182,98.182,0,"species","Sebastes flavidus"
"92","ASV_0117","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"93","ASV_0118","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"94","ASV_0119","Sebastes maliger",99.394,99.394,0,"species","Sebastes maliger"
"95","ASV_0120","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"96","ASV_0121","Sebastes maliger",99.394,99.394,0,"species","Sebastes maliger"
"97","ASV_0122","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"98","ASV_0123","Sebastes proriger",100,100,0,"species","Sebastes proriger"
"99","ASV_0124","Sebastes alutus",99.387,99.387,0,"species","Sebastes alutus"
"100","ASV_0125","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"101","ASV_0126","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"102","ASV_0127","Sebastes ciliatus_variabilis",99.387,99.387,0,"species","Sebastes ciliatus_variabilis"
"103","ASV_0128","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"104","ASV_0129","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"105","ASV_0130","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"106","ASV_0131","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"107","ASV_0132","Sebastes carnatus",96.933,96.933,0,"species","Sebastes carnatus"
"108","ASV_0133","Sebastes melanops",100,100,0,"species","Sebastes melanops"
"109","ASV_0134","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"110","ASV_0135","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"111","ASV_0136","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"112","ASV_0137","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"113","ASV_0138","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"114","ASV_0139","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"115","ASV_0140","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"116","ASV_0142","Sebastes alutus",100,100,0,"species","Sebastes alutus"
"117","ASV_0143","Sebastes alutus",100,100,0,"species","Sebastes alutus"
"118","ASV_0144","Sebastes ruberrimus",100,100,0,"species","Sebastes ruberrimus"
"119","ASV_0145","Sebastes goodei",100,100,0,"species","Sebastes goodei"
"120","ASV_0146","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"121","ASV_0147","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"122","ASV_0148","Sebastes ruberrimus",97.024,97.024,0,"species","Sebastes ruberrimus"
"123","ASV_0150","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"124","ASV_0151","Sebastes ruberrimus",99.405,99.405,0,"species","Sebastes ruberrimus"
"125","ASV_0152","Sebastes pinniger",99.394,99.394,0,"species","Sebastes pinniger"
"126","ASV_0153","Sebastes zacentrus",97.576,97.576,0,"species","Sebastes zacentrus"
"127","ASV_0154","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"128","ASV_0155","Sebastes pinniger",98.182,98.182,0,"species","Sebastes pinniger"
"129","ASV_0156","Sebastes variegatus",99.394,99.394,0,"species","Sebastes variegatus"
"130","ASV_0157","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"131","ASV_0158","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"132","ASV_0159","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"133","ASV_0160","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"134","ASV_0161","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"135","ASV_0162","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"136","ASV_0163","Sebastes alutus",99.387,99.387,0,"species","Sebastes alutus"
"137","ASV_0164","Sebastes entomelas",99.394,99.394,0,"species","Sebastes entomelas"
"138","ASV_0165","Sebastes ruberrimus",99.405,99.405,0,"species","Sebastes ruberrimus"
"139","ASV_0166","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"140","ASV_0167","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"141","ASV_0168","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"142","ASV_0169","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"143","ASV_0171","Sebastes melanops",98.788,98.788,0,"species","Sebastes melanops"
"144","ASV_0172","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"145","ASV_0173","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"146","ASV_0174","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"147","ASV_0175","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"148","ASV_0176","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"149","ASV_0177","Sebastes carnatus",96.933,96.933,0,"species","Sebastes carnatus"
"150","ASV_0178","Sebastes ruberrimus",100,100,0,"species","Sebastes ruberrimus"
"151","ASV_0179","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"152","ASV_0180","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"153","ASV_0181","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"154","ASV_0182","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"155","ASV_0183","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"156","ASV_0184","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"157","ASV_0185","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"158","ASV_0186","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"159","ASV_0187","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"160","ASV_0188","Sebastes maliger",99.394,99.394,0,"species","Sebastes maliger"
"161","ASV_0189","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"162","ASV_0190","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"163","ASV_0191","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"164","ASV_0192","Sebastes alutus",99.387,99.387,0,"species","Sebastes alutus"
"165","ASV_0193","Sebastes proriger",98.795,98.795,0,"species","Sebastes proriger"
"166","ASV_0194","Sebastes borealis",99.39,99.39,0,"species","Sebastes borealis"
"167","ASV_0195","Sebastes nebulosus",98.193,98.193,0,"species","Sebastes nebulosus"
"168","ASV_0196","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"169","ASV_0197","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"170","ASV_0198","Sebastes ciliatus_variabilis",99.387,99.387,0,"species","Sebastes ciliatus_variabilis"
"171","ASV_0199","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"172","ASV_0200","Sebastes borealis",99.39,99.39,0,"species","Sebastes borealis"
"173","ASV_0201","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"174","ASV_0202","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"175","ASV_0203","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"176","ASV_0205","Sebastes borealis",99.39,99.39,0,"species","Sebastes borealis"
"177","ASV_0206","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"178","ASV_0207","Sebastes ruberrimus",98.214,98.214,0,"species","Sebastes ruberrimus"
"179","ASV_0208","Sebastes maliger",99.394,99.394,0,"species","Sebastes maliger"
"180","ASV_0209","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"181","ASV_0210","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"182","ASV_0211","Sebastes zacentrus",98.182,98.182,0,"species","Sebastes zacentrus"
"183","ASV_0212","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"184","ASV_0213","Sebastolobus alascanus",97.5,97.5,0,"species","Sebastolobus alascanus"
"185","ASV_0214","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"186","ASV_0215","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"187","ASV_0216","Sebastes pinniger",98.788,98.788,0,"species","Sebastes pinniger"
"188","ASV_0217","Sebastes melanops",99.394,99.394,0,"species","Sebastes melanops"
"189","ASV_0218","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"190","ASV_0219","Sebastolobus alascanus",98.171,98.171,0,"species","Sebastolobus alascanus"
"191","ASV_0220","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"192","ASV_0221","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"193","ASV_0222","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"194","ASV_0223","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"195","ASV_0224","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"196","ASV_0225","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"197","ASV_0226","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"198","ASV_0227","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"199","ASV_0228","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"200","ASV_0229","Sebastes alutus",100,100,0,"species","Sebastes alutus"
"201","ASV_0230","Sebastes alutus",100,100,0,"species","Sebastes alutus"
"202","ASV_0231","Sebastes variegatus",98.788,98.788,0,"species","Sebastes variegatus"
"203","ASV_0232","Sebastes ciliatus_variabilis",98.171,98.171,0,"species","Sebastes ciliatus_variabilis"
"204","ASV_0233","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"205","ASV_0234","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"206","ASV_0235","Sebastes aleutianus",100,100,0,"species","Sebastes aleutianus"
"207","ASV_0236","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"208","ASV_0237","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"209","ASV_0238","Sebastes pinniger",98.788,98.788,0,"species","Sebastes pinniger"
"210","ASV_0239","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"211","ASV_0240","Sebastes melanostictus",98.171,98.171,0,"species","Sebastes melanostictus"
"212","ASV_0241","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"213","ASV_0242","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"214","ASV_0244","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"215","ASV_0245","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"216","ASV_0246","Sebastes alutus",98.171,98.171,0,"species","Sebastes alutus"
"217","ASV_0247","Sebastes maliger",98.788,98.788,0,"species","Sebastes maliger"
"218","ASV_0248","Sebastes maliger",99.394,99.394,0,"species","Sebastes maliger"
"219","ASV_0249","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"220","ASV_0250","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"221","ASV_0251","Sebastes babcocki",98.788,98.788,0,"species","Sebastes babcocki"
"222","ASV_0252","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"223","ASV_0253","Sebastes zacentrus",97.576,97.576,0,"species","Sebastes zacentrus"
"224","ASV_0254","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"225","ASV_0255","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"226","ASV_0256","Sebastes alutus",100,100,0,"species","Sebastes alutus"
"227","ASV_0257","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"228","ASV_0258","Sebastes brevispinis",100,100,0,"species","Sebastes brevispinis"
"229","ASV_0259","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"230","ASV_0260","Sebastes ciliatus_variabilis",100,100,0,"species","Sebastes ciliatus_variabilis"
"231","ASV_0261","Sebastes aleutianus",100,100,0,"species","Sebastes aleutianus"
"232","ASV_0262","Sebastes borealis",99.39,99.39,0,"species","Sebastes borealis"
"233","ASV_0263","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"234","ASV_0264","Sebastes ciliatus_variabilis",99.387,99.387,0,"species","Sebastes ciliatus_variabilis"
"235","ASV_0265","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"236","ASV_0266","Sebastolobus alascanus",98.171,98.171,0,"species","Sebastolobus alascanus"
"237","ASV_0267","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"238","ASV_0268","Sebastes polyspinis",99.387,99.387,0,"species","Sebastes polyspinis"
"239","ASV_0269","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"240","ASV_0270","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"241","ASV_0271","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"242","ASV_0272","Sebastes melanops",98.788,98.788,0,"species","Sebastes melanops"
"243","ASV_0273","Sebastes polyspinis",99.387,99.387,0,"species","Sebastes polyspinis"
"244","ASV_0274","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"245","ASV_0275","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"246","ASV_0276","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"247","ASV_0277","Sebastes alutus",100,100,0,"species","Sebastes alutus"
"248","ASV_0278","Sebastes variegatus",98.788,98.788,0,"species","Sebastes variegatus"
"249","ASV_0279","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"250","ASV_0281","Sebastes aleutianus",97.561,97.561,0,"species","Sebastes aleutianus"
"251","ASV_0282","Sebastes polyspinis",96.319,96.319,0,"species","Sebastes polyspinis"
"252","ASV_0283","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"253","ASV_0284","Sebastes nigrocinctus",96.407,96.407,0,"species","Sebastes nigrocinctus"
"254","ASV_0285","Sebastes variegatus",98.193,98.193,0,"species","Sebastes variegatus"
"255","ASV_0286","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"256","ASV_0287","Sebastes melanostictus",99.39,99.39,0,"species","Sebastes melanostictus"
"257","ASV_0288","Sebastes babcocki",98.788,98.788,0,"species","Sebastes babcocki"
"258","ASV_0289","Sebastes alutus",99.387,99.387,0,"species","Sebastes alutus"
"259","ASV_0291","Sebastes entomelas",100,100,0,"species","Sebastes entomelas"
"260","ASV_0292","Sebastes alutus",99.379,99.379,0,"species","Sebastes alutus"
"261","ASV_0293","Sebastes helvomaculatus",98.817,98.817,0,"species","Sebastes helvomaculatus"
"262","ASV_0294","Sebastes polyspinis",100,100,0,"species","Sebastes polyspinis"
"263","ASV_0295","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"264","ASV_0298","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"265","ASV_0299","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"266","ASV_0300","Sebastes aleutianus",98.78,98.78,0,"species","Sebastes aleutianus"
"267","ASV_0301","Sebastolobus alascanus",98.171,98.171,0,"species","Sebastolobus alascanus"
"268","ASV_0302","Sebastes carnatus",95.758,95.758,0,"species","Sebastes carnatus"
"269","ASV_0303","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"270","ASV_0304","Sebastes borealis",100,100,0,"species","Sebastes borealis"
"271","ASV_0305","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"272","ASV_0307","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"273","ASV_0308","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"274","ASV_0309","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"275","ASV_0310","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"276","ASV_0311","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"277","ASV_0312","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"278","ASV_0313","Sebastes alutus",98.171,98.171,0,"species","Sebastes alutus"
"279","ASV_0314","Sebastes melanostictus",97.561,97.561,0,"species","Sebastes melanostictus"
"280","ASV_0315","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"281","ASV_0316","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"282","ASV_0317","Sebastes flavidus",97.576,97.576,0,"species","Sebastes flavidus"
"283","ASV_0318","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"284","ASV_0319","Sebastes proriger",98.795,98.795,0,"species","Sebastes proriger"
"285","ASV_0320","Sebastes pinniger",98.788,98.788,0,"species","Sebastes pinniger"
"286","ASV_0321","Sebastes borealis",97.561,97.561,0,"species","Sebastes borealis"
"287","ASV_0322","Sebastes flavidus",100,100,0,"species","Sebastes flavidus"
"288","ASV_0324","Sebastolobus alascanus",98.171,98.171,0,"species","Sebastolobus alascanus"
"289","ASV_0325","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"290","ASV_0326","Sebastes carnatus",96.364,96.364,0,"species","Sebastes carnatus"
"291","ASV_0327","Sebastes polyspinis",98.773,98.773,0,"species","Sebastes polyspinis"
"292","ASV_0328","Sebastes brevispinis",100,100,0,"species","Sebastes brevispinis"
"293","ASV_0329","Sebastes nigrocinctus",97.605,97.605,0,"species","Sebastes nigrocinctus"
"294","ASV_0330","Sebastes aleutianus",100,100,0,"species","Sebastes aleutianus"
"295","ASV_0331","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"296","ASV_0332","Sebastes ruberrimus",99.405,99.405,0,"species","Sebastes ruberrimus"
"297","ASV_0333","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"298","ASV_0334","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"299","ASV_0335","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"300","ASV_0337","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"301","ASV_0338","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"302","ASV_0340","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"303","ASV_0341","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"304","ASV_0343","Sebastes alutus",99.39,99.39,0,"species","Sebastes alutus"
"305","ASV_0344","Sebastes polyspinis",99.387,99.387,0,"species","Sebastes polyspinis"
"306","ASV_0345","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"307","ASV_0346","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"308","ASV_0349","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"309","ASV_0351","Sebastes melanops",99.394,99.394,0,"species","Sebastes melanops"
"310","ASV_0352","Sebastes alutus",98.765,98.765,0,"species","Sebastes alutus"
"311","ASV_0355","Sebastes borealis",99.39,99.39,0,"species","Sebastes borealis"
"312","ASV_0357","Sebastes borealis",99.39,99.39,0,"species","Sebastes borealis"
"313","ASV_0358","Sebastes aleutianus",99.39,99.39,0,"species","Sebastes aleutianus"
"314","ASV_0359","Sebastes brevispinis",99.394,99.394,0,"species","Sebastes brevispinis"
"315","ASV_0360","Sebastes flavidus",99.394,99.394,0,"species","Sebastes flavidus"
"316","ASV_0361","Sebastes alutus",98.78,98.78,0,"species","Sebastes alutus"
"317","ASV_0362","Sebastes proriger",99.398,99.398,0,"species","Sebastes proriger"
"318","ASV_0364","Sebastes babcocki",98.788,98.788,0,"species","Sebastes babcocki"
